"c..1....0.00407836...2....0.00522316...3....0.00505172...4....0.00466484";"c..1....0.00427532...2....0.00536864...3....0.00527456...4....0.00457512";"c..1....0.00411836...2....0.00646884...3....0.006255...4....0.00551364";"c..1....0.00413888...2....0.00654924...3....0.00652252...4....0.00576804";"c..1....0.02187068...2....0.00905735999999998...3....0.00859720000000001..";"c..1....0.02234908...2....0.00895979999999998...3....0.00872376000000001..";"c..1....0.00992624...2....0.00825335999999999...3....0.00775248..";"c..1....0.0093662...2....0.00807895999999999...3....0.00743852.."
"1";0.00407836;0.00427532;0.00411836;0.00413888;0.02187068;0.02234908;0.00992624;0.0093662
"2";0.00522316;0.00536864;0.00646884;0.00654924;0.00905735999999998;0.00895979999999998;0.00825335999999999;0.00807895999999999
"3";0.00505172;0.00527456;0.006255;0.00652252;0.00859720000000001;0.00872376000000001;0.00775248;0.00743852
"4";0.00466484;0.00457512;0.00551364;0.00576804;0.00733012;0.0074838;0.00701856;0.00703232
