"totalvariance";"coverage";"ci95width";"totalvariance.1";"coverage.1";"ci95width.1";"totalvariance.2";"coverage.2";"ci95width.2";"totalvariance.3";"coverage.3";"ci95width.3";"totalvariance.4";"coverage.4";"ci95width.4";"totalvariance.5";"coverage.5";"ci95width.5";"totalvariance.6";"coverage.6";"ci95width.6";"totalvariance.7";"coverage.7";"ci95width.7"
"1";0.0000253630267949029;0.948;0.0197443090648896;0.0000253624127664713;0.934;0.0197439234125869;0.0000254625256172273;0.947;0.0197828979084213;0.0000254447744710165;0.945;0.0197759944614407;0.0000223322312863287;0.016;0.0185249059652719;0.0000222596201808989;0.032;0.0184941292014808;0.0000242156930471847;0.521;0.0192892985890103;0.0000244190404864584;0.579;0.0193689763967765
"2";0.0000448678198667368;0.944;0.0262630933974213;0.000044893954700255;0.955;0.0262707422470335;0.0000448523076716967;0.895;0.0262583964634119;0.0000448755512355152;0.892;0.0262652021064402;0.0000453740181969626;0.759;0.0264108098610034;0.0000453632789321993;0.758;0.0264076686432316;0.000045063674633597;0.8;0.026320027301827;0.000045021892033822;0.811;0.0263078140428586
"3";0.0000418102067688428;0.953;0.0253522248370332;0.0000418266226711285;0.956;0.0253571806601314;0.0000418662165154956;0.888;0.0253689731723252;0.0000418088417324951;0.887;0.0253515168034074;0.0000423759305757518;0.785;0.0255230778159973;0.0000424017101259337;0.767;0.0255308914427705;0.0000420044548040421;0.819;0.0254105407909241;0.0000419653037068776;0.823;0.0253987183438904
"4";0.0000335482362758569;0.958;0.0227089756563151;0.0000334773850278086;0.945;0.0226849380478502;0.0000333871173301158;0.897;0.0226538472067766;0.0000334391318706726;0.885;0.0226713187701226;0.0000341829699513572;0.796;0.0229227008868227;0.000034218632550267;0.778;0.0229346875269455;0.0000337694391837762;0.815;0.0227826060236061;0.0000337323556554848;0.809;0.0227699514963598
